timestamp,seq,device_ms,vibration,adxl_ax,adxl_ay,adxl_az,imu1_roll_deg,imu1_pitch_deg,imu1_total_tilt_deg,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,imu2_roll_deg,imu2_pitch_deg,imu2_total_tilt_deg,distance_cm,mq2_raw,temperature,humidity,buzzer
2026-08-23T06:05:09.568659Z,226,1128228,0,-0.902,-10.748,1.334,0.1,0.07,0.12,-1.176,1.085,10.262,0.024,-0.029,-0.024,0.12,0.18,0.22,22.3,100,24.1,73.0,0
2026-08-23T06:05:14.566447Z,227,1133228,0,-1.02,-10.866,1.373,0.23,0.63,0.67,-1.171,1.097,10.242,0.023,-0.028,-0.023,0.2,0.17,0.26,21.03,100,24.1,73.0,0
2026-08-23T06:05:19.566548Z,228,1138228,0,-0.902,-10.787,1.334,0.08,0.05,0.09,-1.164,1.094,10.252,0.023,-0.029,-0.023,0.18,0.12,0.21,21.03,100,24.1,73.0,0
2026-08-23T06:05:24.566557Z,229,1143228,0,-1.02,-10.827,1.373,0.25,0.65,0.69,-1.156,1.077,10.238,0.023,-0.029,-0.023,0.09,0.09,0.13,21.03,100,24.1,73.0,0
2026-08-23T06:05:29.566519Z,230,1148228,0,-0.981,-10.709,1.412,0.54,0.5,0.73,-1.183,1.099,10.259,0.024,-0.028,-0.023,0.2,0.22,0.3,21.03,100,24.1,73.0,1
2026-08-23T06:05:34.586389Z,231,1153228,0,-0.941,-10.827,1.373,0.25,0.23,0.34,-1.168,1.099,10.281,0.024,-0.029,-0.023,0.19,0.13,0.23,21.03,100,24.1,73.0,1
2026-08-23T06:05:39.569911Z,232,1158228,0,-0.863,-10.787,1.255,-0.34,-0.15,0.37,-1.176,1.101,10.269,0.023,-0.027,-0.022,0.21,0.18,0.27,21.03,100,23.8,73.0,1
2026-08-23T06:05:44.574134Z,233,1163234,0,-0.941,-10.866,1.294,-0.18,0.22,0.29,-1.171,1.101,10.233,0.023,-0.03,-0.024,0.23,0.17,0.28,21.03,100,23.8,73.0,0
2026-08-23T06:05:49.573538Z,234,1168234,0,-0.941,-10.748,1.334,0.1,0.27,0.29,-1.156,1.113,10.238,0.022,-0.03,-0.023,0.29,0.09,0.3,21.03,100,23.8,73.0,0
2026-08-23T06:05:54.604340Z,235,1173234,0,-1.02,-10.748,1.334,0.1,0.69,0.69,-1.166,1.12,10.254,0.023,-0.029,-0.023,0.32,0.13,0.34,21.03,100,23.8,73.0,0
2026-08-23T06:05:59.574113Z,236,1178234,0,-0.941,-10.983,1.373,0.15,0.17,0.22,-1.164,1.101,10.252,0.023,-0.028,-0.025,0.22,0.12,0.25,21.03,100,23.8,73.0,0
2026-08-23T06:06:04.584843Z,237,1183234,0,-0.981,-10.787,1.412,0.48,0.46,0.67,-1.176,1.092,10.252,0.022,-0.029,-0.023,0.17,0.19,0.25,21.03,100,23.8,73.0,0
2026-08-23T06:06:09.571735Z,238,1188234,0,-0.902,-10.827,1.412,0.46,0.03,0.46,-1.19,1.087,10.293,0.023,-0.028,-0.023,0.11,0.24,0.27,21.03,100,23.8,73.0,0
2026-08-23T06:06:14.590628Z,239,1193234,0,-0.981,-10.787,1.334,0.08,0.46,0.47,-1.161,1.092,10.266,0.023,-0.03,-0.023,0.16,0.1,0.18,21.03,100,23.8,73.0,0
2026-08-23T06:06:19.610560Z,240,1198234,0,-0.941,-10.866,1.334,0.02,0.22,0.22,-1.173,1.085,10.257,0.024,-0.029,-0.023,0.12,0.17,0.21,21.45,100,23.8,73.0,0
2026-08-23T06:06:24.594595Z,241,1203234,0,-0.941,-10.787,1.334,0.08,0.25,0.27,-1.164,1.097,10.24,0.023,-0.03,-0.023,0.2,0.13,0.24,21.03,100,23.8,73.0,1
2026-08-23T06:06:29.572288Z,242,1208234,0,-0.863,-10.787,1.373,0.28,-0.16,0.32,-1.178,1.094,10.274,0.022,-0.029,-0.023,0.16,0.19,0.25,21.03,100,23.8,73.0,0
2026-08-23T06:06:34.600570Z,243,1213234,0,-1.02,-10.866,1.491,0.84,0.62,1.04,-1.173,1.077,10.257,0.023,-0.029,-0.023,0.08,0.17,0.19,21.03,100,23.8,73.0,0
