timestamp,seq,device_ms,vibration,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,imu2_roll_deg,imu2_pitch_deg,imu2_total_tilt_deg,distance_cm,mq2_raw,temperature,humidity,buzzer
2026-08-23T06:27:26.988482Z,36,186856,0,2.808,-0.201,-7.271,0.003,0.042,-0.006,0.0,0.09,0.09,40.0,4095,23.4,59.0,
2026-08-23T06:27:32.029268Z,37,191856,0,2.818,-0.23,-7.278,0.002,0.043,-0.005,0.23,0.04,0.22,40.0,4095,23.4,59.0,
2026-08-23T06:27:36.972885Z,38,196856,0,2.828,-0.218,-7.228,0.001,0.041,-0.005,0.15,-0.16,0.21,40.0,4095,23.4,59.0,
2026-08-23T06:27:41.982510Z,39,201856,0,2.799,-0.211,-7.245,0.002,0.041,-0.004,0.09,0.09,0.12,40.0,4095,23.4,59.0,
2026-08-23T06:27:47.013877Z,40,206856,0,2.823,-0.23,-7.25,0.001,0.041,-0.006,0.24,-0.06,0.23,40.0,4095,23.4,59.0,
2026-08-23T06:27:51.980730Z,41,211856,0,2.811,-0.213,-7.281,0.001,0.041,-0.005,0.1,0.1,0.13,40.0,4095,23.4,59.0,
2026-08-23T06:27:56.973756Z,42,216856,0,2.83,-0.201,-7.293,0.002,0.043,-0.004,0.0,0.0,0.0,40.0,4095,23.4,59.0,
2026-08-23T06:28:02.017430Z,43,221856,0,2.813,-0.225,-7.286,0.0,0.041,-0.006,0.19,0.1,0.2,40.0,4095,23.4,59.0,
2026-08-23T06:28:06.970498Z,44,226856,0,2.825,-0.223,-7.283,0.001,0.042,-0.005,0.18,0.01,0.16,40.0,4095,23.4,59.0,
2026-08-23T06:28:11.981909Z,45,231856,0,2.842,-0.223,-7.264,0.001,0.04,-0.006,0.18,-0.16,0.23,40.0,4095,23.4,59.0,
2026-08-23T06:28:17.084387Z,46,236856,0,2.885,0.026,-7.298,0.007,0.044,-0.009,-1.78,-0.37,1.7,40.0,4095,23.4,59.0,
2026-08-23T06:28:22.013160Z,47,241856,0,2.816,-0.206,-7.298,0.004,0.043,-0.004,0.04,0.11,0.11,40.0,4095,23.4,59.0,
2026-08-23T06:28:27.001338Z,48,246856,0,2.825,-0.22,-7.262,0.002,0.043,-0.004,0.16,-0.05,0.15,40.0,4095,23.4,59.0,
2026-08-23T06:28:31.980349Z,49,251856,0,2.813,-0.199,-7.274,0.002,0.042,-0.005,-0.01,0.07,0.07,40.0,4095,23.4,59.0,
2026-08-23T06:28:36.971625Z,50,256856,0,2.842,-0.22,-7.276,0.001,0.041,-0.006,0.15,-0.13,0.19,40.0,4095,23.5,59.0,
2026-08-23T06:28:41.976309Z,51,261856,0,2.816,-0.225,-7.288,0.002,0.043,-0.004,0.19,0.08,0.2,40.0,4095,23.5,59.0,
2026-08-23T06:28:46.972375Z,52,266856,0,2.811,-0.235,-7.264,0.001,0.042,-0.005,0.27,0.06,0.26,40.0,4095,23.5,59.0,
2026-08-23T06:28:51.973701Z,53,271856,0,2.828,-0.239,-7.293,0.001,0.041,-0.006,0.3,0.02,0.28,40.0,4095,23.5,59.0,
2026-08-23T06:28:56.971972Z,54,276856,0,2.818,-0.204,-7.271,0.002,0.041,-0.005,0.03,0.02,0.04,40.0,4095,23.5,59.0,
2026-08-23T06:29:02.085330Z,55,281856,0,2.825,-0.201,-7.314,0.002,0.043,-0.005,-0.0,0.09,0.09,40.0,4095,23.5,59.0,
2026-08-23T06:29:07.168622Z,56,286856,0,2.837,-0.215,-7.288,0.002,0.042,-0.005,0.11,-0.06,0.12,40.0,4095,23.5,59.0,
2026-08-23T06:29:11.978308Z,57,291856,0,2.823,-0.187,-7.307,0.001,0.042,-0.005,-0.11,0.08,0.13,40.0,4095,23.5,59.0,
2026-08-23T06:29:16.982569Z,58,296856,0,2.818,-0.211,-7.266,0.002,0.043,-0.004,0.08,0.01,0.08,40.0,4095,23.5,59.0,
2026-08-23T06:29:21.983658Z,59,301856,0,2.816,-0.211,-7.242,0.002,0.042,-0.005,0.09,-0.04,0.09,40.0,4095,23.5,59.0,
2026-08-23T06:29:26.989333Z,60,306856,0,2.82,-0.223,-7.295,0.003,0.042,-0.005,0.17,0.08,0.18,40.0,4095,23.5,59.0,
2026-08-23T06:29:32.063497Z,61,311856,0,2.82,-0.208,-7.252,0.001,0.042,-0.005,0.06,-0.04,0.07,40.0,4095,23.5,59.0,
2026-08-23T06:29:38.612168Z,62,316856,0,2.844,-0.218,-7.259,0.001,0.042,-0.005,0.14,-0.18,0.23,40.0,4095,23.5,59.0,
2026-08-23T06:29:41.970531Z,63,321856,0,2.825,-0.232,-7.286,0.002,0.041,-0.005,0.25,0.02,0.23,40.0,4095,23.5,59.0,
2026-08-23T06:29:46.991647Z,64,326856,0,2.842,-0.208,-7.276,0.003,0.042,-0.005,0.06,-0.13,0.14,40.0,4095,23.5,59.0,
2026-08-23T06:29:51.992422Z,65,331856,0,2.813,-0.227,-7.271,0.002,0.041,-0.006,0.21,0.06,0.2,40.0,4095,23.5,59.0,
2026-08-23T06:29:57.046523Z,66,336856,0,2.818,-0.201,-7.302,0.003,0.041,-0.005,-0.0,0.11,0.11,40.0,4095,23.4,59.0,
2026-08-23T06:30:01.970589Z,67,341856,0,2.816,-0.232,-7.266,0.002,0.041,-0.006,0.25,0.03,0.23,40.0,4095,23.4,59.0,
2026-08-23T06:30:06.984148Z,68,346856,0,2.823,-0.213,-7.233,0.0,0.042,-0.006,0.11,-0.11,0.15,40.0,4095,23.4,59.0,
2026-08-23T06:30:13.580018Z,69,351856,0,2.818,-0.235,-7.281,0.002,0.041,-0.006,0.27,0.05,0.26,40.0,4095,23.4,59.0,
2026-08-23T06:30:17.029531Z,70,356856,0,2.813,-0.208,-7.25,0.002,0.043,-0.005,0.06,0.0,0.06,40.0,4095,23.4,59.0,
2026-08-23T06:30:21.978500Z,71,361856,0,2.837,-0.213,-7.266,0.001,0.044,-0.005,0.1,-0.12,0.15,40.0,4095,23.4,59.0,
2026-08-23T06:30:27.038539Z,72,366856,0,2.832,-0.215,-7.269,0.002,0.042,-0.006,0.12,-0.08,0.13,40.0,4095,23.4,59.0,
2026-08-23T06:30:31.988342Z,73,371856,0,2.835,-0.227,-7.305,0.002,0.042,-0.005,0.2,-0.0,0.19,40.0,4095,23.4,59.0,
2026-08-23T06:30:36.981129Z,74,376856,0,2.823,-0.223,-7.283,0.001,0.042,-0.005,0.18,0.02,0.16,40.0,4095,23.4,59.0,
2026-08-23T06:30:41.974343Z,75,381856,0,2.816,-0.239,-7.254,0.001,0.042,-0.005,0.31,-0.0,0.29,40.0,4095,23.4,59.0,
2026-08-23T06:30:47.073025Z,76,386856,0,2.82,-0.215,-7.305,0.002,0.043,-0.005,0.11,0.1,0.14,40.0,4095,23.4,59.0,
2026-08-23T06:30:51.998410Z,77,391856,0,2.823,-0.218,-7.3,0.0,0.041,-0.006,0.13,0.07,0.14,40.0,4095,23.4,59.0,
2026-08-23T06:30:57.018342Z,78,396856,0,2.799,-0.23,-7.254,0.001,0.041,-0.005,0.24,0.11,0.25,40.0,4095,23.4,59.0,
2026-08-23T06:31:01.968660Z,79,401856,0,2.83,-0.218,-7.283,0.002,0.042,-0.004,0.14,-0.03,0.13,40.0,4095,23.4,59.0,
2026-08-23T06:31:06.972366Z,80,406856,0,2.816,-0.206,-7.262,0.002,0.043,-0.005,0.05,0.01,0.05,40.0,4095,23.4,59.0,
2026-08-23T06:31:12.013504Z,81,411856,0,2.818,-0.215,-7.298,0.001,0.042,-0.006,0.11,0.1,0.14,40.0,4095,23.4,59.0,
2026-08-23T06:31:17.090354Z,82,416856,0,2.832,-0.227,-7.238,0.001,0.042,-0.005,0.22,-0.16,0.26,40.0,4095,23.4,59.0,
2026-08-23T06:31:23.556007Z,83,421856,0,2.835,-0.208,-7.3,-0.001,0.042,-0.005,0.05,-0.02,0.05,40.0,4095,23.4,59.0,
2026-08-23T06:31:26.966497Z,84,426856,0,2.832,-0.232,-7.262,0.001,0.041,-0.005,0.25,-0.09,0.25,40.0,4095,23.4,59.0,
2026-08-23T06:31:32.223400Z,85,431856,0,2.823,-0.218,-7.271,0.001,0.042,-0.005,0.14,-0.01,0.13,40.0,4095,23.4,59.0,
2026-08-23T06:31:36.986021Z,86,436856,0,2.842,-0.206,-7.288,0.0,0.042,-0.005,0.04,-0.09,0.1,40.0,4095,23.4,59.0,
2026-08-23T06:31:42.062542Z,87,441856,0,2.84,-0.232,-7.293,0.002,0.042,-0.006,0.24,-0.07,0.24,40.0,4095,23.4,59.0,
2026-08-23T06:31:46.973703Z,88,446856,0,2.808,-0.218,-7.271,0.001,0.042,-0.006,0.14,0.09,0.16,40.0,4095,23.4,59.0,
2026-08-23T06:31:51.966380Z,89,451856,0,2.816,-0.204,-7.274,0.001,0.042,-0.006,0.03,0.05,0.05,40.0,4095,23.4,59.0,
2026-08-23T06:31:58.552475Z,90,456856,0,2.806,-0.23,-7.269,0.002,0.042,-0.005,0.23,0.1,0.24,40.0,4095,23.4,59.0,
2026-08-23T06:32:01.987965Z,91,461856,0,2.832,-0.218,-7.286,0.001,0.043,-0.006,0.14,-0.03,0.13,40.0,4095,23.4,59.0,
2026-08-23T06:32:07.058018Z,92,466856,0,2.808,-0.215,-7.293,0.002,0.042,-0.005,0.11,0.15,0.18,40.0,4095,23.5,59.0,
2026-08-23T06:32:18.053095Z,93,471856,0,2.799,-0.206,-7.254,0.001,0.042,-0.005,0.05,0.11,0.12,40.0,4095,23.5,59.0,
2026-08-23T06:32:18.204866Z,94,476856,0,2.811,-0.199,-7.259,0.002,0.042,-0.006,-0.01,0.04,0.04,40.0,4095,23.5,59.0,
2026-08-23T06:32:21.971953Z,95,481856,0,2.823,-0.227,-7.293,0.001,0.042,-0.004,0.2,0.05,0.2,40.0,4095,23.5,59.0,
2026-08-23T06:32:27.016788Z,96,486856,0,2.83,-0.237,-7.283,0.002,0.041,-0.005,0.29,-0.02,0.27,40.0,4095,23.4,59.0,
2026-08-23T06:32:31.970489Z,97,491856,0,2.844,-0.213,-7.283,-0.001,0.043,-0.005,0.1,-0.12,0.15,40.0,4095,23.4,59.0,
2026-08-23T06:32:37.704224Z,98,496856,0,2.82,-0.22,-7.24,0.001,0.042,-0.005,0.16,-0.07,0.17,40.0,4095,23.4,59.0,
2026-08-23T06:32:41.966551Z,99,501856,0,2.83,-0.225,-7.278,0.002,0.041,-0.006,0.19,-0.04,0.18,40.0,4095,23.4,59.0,
2026-08-23T06:32:46.969997Z,100,506856,0,2.823,-0.232,-7.262,0.002,0.041,-0.005,0.25,-0.03,0.24,40.0,4095,23.4,59.0,
2026-08-23T06:32:56.550510Z,101,511856,0,2.823,-0.213,-7.288,0.002,0.041,-0.005,0.1,0.04,0.1,40.0,4095,23.4,59.0,
2026-08-23T06:32:56.967522Z,102,516856,0,2.84,-0.211,-7.3,0.002,0.042,-0.006,0.08,-0.05,0.09,40.0,4095,23.4,59.0,
2026-08-23T06:33:02.002556Z,103,521856,0,2.825,-0.232,-7.324,0.002,0.041,-0.006,0.24,0.12,0.25,40.0,4095,23.4,59.0,
2026-08-23T06:33:08.552673Z,104,526856,0,2.825,-0.201,-7.278,0.001,0.041,-0.005,0.0,-0.01,0.01,40.0,4095,23.4,59.0,
2026-08-23T06:33:12.072256Z,105,531856,0,2.825,-0.218,-7.262,0.001,0.043,-0.005,0.14,-0.05,0.14,40.0,4095,23.4,59.0,
2026-08-23T06:33:16.965015Z,106,536856,0,2.799,-0.211,-7.288,0.002,0.042,-0.006,0.08,0.2,0.21,40.0,4095,23.4,59.0,
2026-08-23T06:33:22.062527Z,107,541856,0,2.83,-0.22,-7.262,0.001,0.042,-0.006,0.16,-0.08,0.17,40.0,4095,23.4,59.0,
2026-08-23T06:33:26.966009Z,108,546856,0,2.825,-0.218,-7.262,0.002,0.043,-0.004,0.14,-0.05,0.14,40.0,4095,23.4,59.0,
2026-08-23T06:33:32.072213Z,109,551856,0,2.813,-0.213,-7.233,0.001,0.041,-0.005,0.11,-0.04,0.11,40.0,4095,23.4,59.0,
2026-08-23T06:33:36.965298Z,110,556856,0,2.816,-0.206,-7.266,0.002,0.041,-0.006,0.05,0.02,0.05,40.0,4095,23.4,59.0,
2026-08-23T06:33:41.981529Z,111,561856,0,2.849,-0.158,-7.266,0.004,0.043,-0.002,-0.33,-0.2,0.37,40.0,4095,23.4,59.0,
2026-08-23T06:33:46.963917Z,112,566856,0,2.816,-0.218,-7.266,0.001,0.042,-0.005,0.14,0.03,0.13,40.0,4095,23.4,59.0,
2026-08-23T06:33:51.986531Z,113,571856,0,2.813,-0.23,-7.302,0.0,0.043,-0.006,0.23,0.14,0.25,40.0,4095,23.4,59.0,
2026-08-23T06:33:58.266531Z,114,576856,0,2.825,-0.223,-7.29,0.002,0.043,-0.005,0.17,0.03,0.16,40.0,4095,23.3,59.0,
2026-08-23T06:34:01.986282Z,115,581856,0,2.818,-0.23,-7.266,0.0,0.04,-0.006,0.23,0.01,0.22,40.0,4095,23.3,59.0,
2026-08-23T06:34:06.963643Z,116,586856,0,2.808,-0.208,-7.252,0.001,0.041,-0.005,0.06,0.04,0.07,40.0,4095,23.3,59.0,
2026-08-23T06:34:11.990498Z,117,591856,0,2.816,-0.204,-7.278,0.002,0.042,-0.004,0.03,0.06,0.06,40.0,4095,23.3,59.0,
2026-08-23T06:34:16.966575Z,118,596856,0,2.811,-0.223,-7.216,0.001,0.041,-0.005,0.19,-0.07,0.19,40.0,4095,23.3,59.0,
2026-08-23T06:34:22.013100Z,119,601856,0,2.818,-0.22,-7.286,0.001,0.042,-0.005,0.15,0.06,0.15,40.0,4095,23.3,59.0,
2026-08-23T06:34:26.970405Z,120,606856,0,2.82,-0.225,-7.247,0.001,0.043,-0.005,0.2,-0.05,0.19,40.0,4095,23.3,59.0,
2026-08-23T06:34:33.848294Z,121,611856,0,2.813,-0.223,-7.276,0.001,0.042,-0.006,0.18,0.07,0.18,40.0,4095,23.3,59.0,
2026-08-23T06:34:36.963897Z,122,616856,0,2.828,-0.227,-7.281,0.001,0.042,-0.006,0.21,-0.02,0.19,40.0,4095,23.3,59.0,
2026-08-23T06:34:41.966467Z,123,621856,0,2.811,-0.23,-7.245,-0.001,0.04,-0.005,0.24,0.0,0.22,40.0,4095,23.3,59.0,
2026-08-23T06:34:48.555541Z,124,626856,0,2.823,-0.251,-7.305,-0.001,0.042,-0.005,0.39,0.08,0.37,40.0,4095,23.3,59.0,
2026-08-23T06:34:54.465769Z,125,631856,0,2.83,-0.206,-7.281,0.001,0.041,-0.005,0.04,-0.03,0.05,40.0,4095,23.3,59.0,
2026-08-23T06:35:10.958471Z,126,636856,0,2.825,-0.192,-7.293,0.001,0.042,-0.005,-0.07,0.03,0.07,40.0,4095,23.3,59.0,
2026-08-23T06:35:12.273519Z,127,641856,0,2.825,-0.227,-7.293,0.001,0.042,-0.005,0.2,0.04,0.19,40.0,4095,23.3,59.0,
2026-08-23T06:35:12.289968Z,128,646856,0,2.828,-0.22,-7.257,0.002,0.042,-0.005,0.16,-0.08,0.17,40.0,4095,23.3,59.0,
2026-08-23T06:35:12.304190Z,129,651856,0,2.818,-0.22,-7.305,0.001,0.042,-0.005,0.15,0.12,0.18,40.0,4095,23.3,59.0,
2026-08-23T06:35:20.057405Z,130,656856,0,2.813,-0.206,-7.293,0.001,0.042,-0.004,0.04,0.12,0.12,40.0,4095,23.3,59.0,
2026-08-23T06:35:24.970552Z,131,661856,0,2.813,-0.22,-7.271,0.001,0.042,-0.005,0.15,0.06,0.16,40.0,4095,23.3,59.0,
2026-08-23T06:35:29.498508Z,132,666856,0,2.813,-0.215,-7.242,0.002,0.042,-0.005,0.12,-0.02,0.11,40.0,4095,23.3,59.0,
2026-08-23T06:36:06.980989Z,140,706856,0,2.844,-0.225,-7.309,0.001,0.042,-0.005,0.18,-0.05,0.18,40.0,4095,23.3,59.0,
2026-08-23T06:36:11.978480Z,141,711856,0,2.825,-0.218,-7.293,0.001,0.042,-0.005,0.13,0.04,0.13,40.0,4095,23.3,59.0,
2026-08-23T06:36:16.966528Z,142,716856,0,2.825,-0.204,-7.242,0.001,0.041,-0.006,0.03,-0.1,0.11,40.0,4095,23.3,59.0,
2026-08-23T06:37:02.166582Z,151,761856,0,2.849,-0.218,-7.321,0.002,0.042,-0.006,0.13,-0.05,0.13,40.0,4095,23.2,59.0,
2026-08-23T06:37:07.165000Z,152,766856,0,2.835,-0.223,-7.262,0.0,0.041,-0.005,0.18,-0.11,0.2,40.0,4095,23.2,59.0,
2026-08-23T06:37:11.965623Z,153,771856,0,2.832,-0.237,-7.252,0.001,0.042,-0.005,0.29,-0.12,0.3,40.0,4095,23.2,59.0,
2026-08-23T06:37:30.872751Z,154,776856,0,2.856,-0.218,-7.266,0.002,0.042,-0.004,0.14,-0.25,0.28,40.0,4095,23.2,59.0,
2026-08-23T06:37:30.902575Z,156,786856,0,2.82,-0.22,-7.283,0.001,0.041,-0.005,0.15,0.04,0.15,40.0,4095,23.2,59.0,
2026-08-23T06:37:30.888809Z,155,781856,0,2.806,-0.227,-7.271,0.001,0.041,-0.006,0.21,0.11,0.22,40.0,4095,23.2,59.0,
2026-08-23T06:37:31.962445Z,157,791856,0,2.828,-0.22,-7.269,0.002,0.042,-0.005,0.15,-0.05,0.15,40.0,4095,23.2,59.0,
2026-08-23T06:37:37.046578Z,158,796856,0,2.842,-0.213,-7.312,0.001,0.042,-0.006,0.09,-0.03,0.09,40.0,4095,23.2,59.0,
2026-08-23T06:37:42.093653Z,159,801856,0,2.835,-0.237,-7.257,0.001,0.042,-0.005,0.29,-0.13,0.3,40.0,4095,23.2,59.0,
2026-08-23T06:37:49.270294Z,160,806856,0,2.787,-0.232,-7.264,0.001,0.042,-0.005,0.25,0.22,0.32,40.0,4095,23.2,59.0,
2026-08-23T06:37:52.067939Z,161,811856,0,2.832,-0.235,-7.238,0.001,0.04,-0.006,0.28,-0.16,0.31,40.0,4095,23.2,59.0,
