timestamp,seq,device_ms,vibration,adxl_ax,adxl_ay,adxl_az,mpu_ax,mpu_ay,mpu_az,mpu_gx,mpu_gy,mpu_gz,distance_cm,mq2_raw,temperature,humidity,buzzer
2026-08-23T06:04:14.558577Z,215,1073212,0,-0.902,-10.787,1.294,-1.202,1.109,10.257,0.022,-0.03,-0.023,16.17,690,23.8,72.0,0
2026-08-23T06:04:19.568677Z,216,1078212,0,-0.941,-10.866,1.294,-1.197,1.075,10.29,0.023,-0.029,-0.023,16.16,688,23.8,73.0,0
2026-08-23T06:04:24.551909Z,217,1083212,0,-0.902,-10.591,1.255,-1.176,1.089,10.262,0.023,-0.029,-0.023,16.17,688,23.8,73.0,0
2026-08-23T06:04:29.553006Z,218,1088212,0,-0.863,-10.67,1.255,-1.192,1.075,10.276,0.024,-0.029,-0.023,16.16,688,23.8,73.0,0
2026-08-23T06:04:34.551455Z,219,1093212,0,-0.863,-10.787,1.334,-1.178,1.092,10.264,0.023,-0.029,-0.022,16.17,689,23.9,73.0,0
2026-08-23T06:04:39.574433Z,220,1098212,0,-0.981,-10.787,1.412,-1.188,1.08,10.245,0.024,-0.028,-0.023,16.17,688,23.9,73.0,0
2026-08-23T06:04:44.605469Z,221,1103228,0,-0.785,-10.827,1.294,-1.183,0.991,10.317,0.05,-0.043,-0.017,21.44,686,23.9,73.0,1
2026-08-23T06:04:49.580436Z,222,1108228,0,-0.863,-10.983,1.412,-1.19,1.087,10.216,0.022,-0.029,-0.023,21.44,688,24.1,73.0,1
2026-08-23T06:04:54.605614Z,223,1113228,0,-0.902,-10.866,1.334,-1.168,1.104,10.281,0.023,-0.027,-0.023,22.3,683,24.1,73.0,0
2026-08-23T06:04:59.568176Z,224,1118228,0,-0.902,-10.944,1.451,-1.152,1.099,10.262,0.023,-0.028,-0.022,21.45,687,24.1,73.0,0
2026-08-23T06:05:04.569589Z,225,1123228,0,-0.863,-10.827,1.334,-1.168,1.089,10.274,0.023,-0.029,-0.023,22.3,688,24.1,73.0,0
2026-08-23T06:05:09.568659Z,226,1128228,0,-0.902,-10.748,1.334,-1.176,1.085,10.262,0.024,-0.029,-0.024,22.3,688,24.1,73.0,0
2026-08-23T06:05:14.566447Z,227,1133228,0,-1.02,-10.866,1.373,-1.171,1.097,10.242,0.023,-0.028,-0.023,21.03,686,24.1,73.0,0
2026-08-23T06:05:19.566548Z,228,1138228,0,-0.902,-10.787,1.334,-1.164,1.094,10.252,0.023,-0.029,-0.023,21.03,687,24.1,73.0,0
2026-08-23T06:05:24.566557Z,229,1143228,0,-1.02,-10.827,1.373,-1.156,1.077,10.238,0.023,-0.029,-0.023,21.03,686,24.1,73.0,0
2026-08-23T06:05:29.566519Z,230,1148228,0,-0.981,-10.709,1.412,-1.183,1.099,10.259,0.024,-0.028,-0.023,21.03,687,24.1,73.0,1
2026-08-23T06:05:34.586389Z,231,1153228,0,-0.941,-10.827,1.373,-1.168,1.099,10.281,0.024,-0.029,-0.023,21.03,688,24.1,73.0,1
2026-08-23T06:05:39.569911Z,232,1158228,0,-0.863,-10.787,1.255,-1.176,1.101,10.269,0.023,-0.027,-0.022,21.03,687,23.8,73.0,1
2026-08-23T06:05:44.574134Z,233,1163234,0,-0.941,-10.866,1.294,-1.171,1.101,10.233,0.023,-0.03,-0.024,21.03,681,23.8,73.0,0
2026-08-23T06:05:49.573538Z,234,1168234,0,-0.941,-10.748,1.334,-1.156,1.113,10.238,0.022,-0.03,-0.023,21.03,681,23.8,73.0,0
2026-08-23T06:05:54.604340Z,235,1173234,0,-1.02,-10.748,1.334,-1.166,1.12,10.254,0.023,-0.029,-0.023,21.03,678,23.8,73.0,0
2026-08-23T06:05:59.574113Z,236,1178234,0,-0.941,-10.983,1.373,-1.164,1.101,10.252,0.023,-0.028,-0.025,21.03,684,23.8,73.0,0
2026-08-23T06:06:04.584843Z,237,1183234,0,-0.981,-10.787,1.412,-1.176,1.092,10.252,0.022,-0.029,-0.023,21.03,683,23.8,73.0,0
